Text,Family,Evidence,TopCorrect,AnyCorrect,Groundings,,,,,,,,,,,,,,,,
mRNA,0,"We demonstrate that endogenous wild-type p53 was able to down-regulate telomerase activity, hTERT mRNA levels, and promoter activity; however, the ability to repress hTERT expression was found to be c",,,NCIT/C813/messenger RNA/0.70732,CHEBI/33699/messenger RNA/0.56098,,,,,,,,,,,,,,,
ischemia reperfusion injury,0,Recent study suggests an important regulatory role of microRNA-370 (miR-370) in ischemia-reperfusion injury.,,,EFO/0002687/ischemia reperfusion injury/0.85366,,,,,,,,,,,,,,,,
KNOWLEDGE,0,"Furthermore, the knowledge about HBOC of these messengers reveals several shortcomings.",0,0,,,,,,,,,,,,,,,,,
ESR1,0,"Once grade and pathological nodal status (pN stage) were taken into account, SNPs in ESR1 and LSP1 showed no independent survival difference, whereas the effects of the DAPK1 SNP were removed when cor",,,HGNC/3467/estrogen receptor 1/0.85366,NCIT/C51574/ESR1/0.85366,NCIT/C38361/estrogen receptor 1/0.70732,,,,,,,,,,,,,,
kallikrein 11,0,The purpose of this study was to examine expression levels of the human tissue kallikrein 11 gene (KLK11) in epithelial ovarian tumors and to identify the relationship between KLK11 expression and pat,,,NCIT/C43297/kallikrein-11 precursor/0.70732,HGNC/6359/kallikrein related peptidase 11/0.26829,,,,,,,,,,,,,,,
Lipid,0,"The goal of this study was to examine the effect that four novel MTTP missense mutations had on protein interactions, expression and lipid-transfer activity, and to determine which mutations were resp",,,CHEBI/18059/lipid/0.85013,,,,,,,,,,,,,,,,
MARKER,0,"After adjustment for demographics, baseline EF, hypertension, diabetes, cardiovascular disease, body mass index, systolic blood pressure, hemoglobin and markers of mineral metabolism, participants wit",0,0,,,,,,,,,,,,,,,,,
INDIVIDUAL,0,"Among them, 44 subjects had proliferative diabetic retinopathy (PDR), 30 had non-proliferative diabetic retinopathy (NPDR), and 74 individuals without retinopathy served as controls.",0,0,,,,,,,,,,,,,,,,,
indirubin,0,"The activation of EGF receptor, known to be highly expressed in psoriatic lesions, was inhibited by indigo naturalis or indirubin.",,,MESH/C027185/indirubin/0.85366,,,,,,,,,,,,,,,,
AXIS,0,"Studies in model organisms suggest that Nodal-like factors provide instructions for key aspects of body axis and germ layer patterning; however, the complex genetics of pathogenic gene variant(s) in h",0,0,,,,,,,,,,,,,,,,,
cycT1,0,Cyclin T1 (CycT1) is a cellular transcription elongation factor that also participates in Tat-mediated activation of several lentiviral promoters.,,,UP/Q6T8E9/Cyclin-T1/0.84198,UP/Q9XT26/Cyclin-T1/0.84198,UP/O60563/Cyclin-T1/0.84198,UP/Q9QWV9/Cyclin-T1/0.84198,UP/Q8HXN7/Cyclin-T1/0.84198,HGNC/1599/cyclin T1/0.55337,,,,,,,,,,,
PATIENT,0,"Thirteen clinical case-control studies, which enrolled a total of 465 MM patients and 180 healthy subjects, were included in the meta-analysis.",0,0,,,,,,,,,,,,,,,,,
HAT,1,All proteins have been shown to be acetylated by the CBP/p300 HAT domain.,0,1,UP/P9WKY4/Histone acetyltransferase/0.85366,UP/P9WKY5/Histone acetyltransferase/0.85366,XFAM/PF02184/HAT/0.70732,NCIT/C17302/histone acetylase/0.70732,,,,,,,,,,,,,
REGION,0,Co-immunoprecipitation experiments revealed that this N-terminal region of NR0B1 was essential for the physical interaction with PPARγ.,0,0,,,,,,,,,,,,,,,,,
colon adenocarcinoma,0,c-MYC oncogene is frequently deregulated by amplification in colon adenocarcinoma.,,,NCIT/C4349/colon adenocarcinoma/0.85366,EFO/0000365/colorectal adenocarcinoma/0.70732,,,,,,,,,,,,,,,
CYSTEINE-4326,0,Site-specific mutagenesis demonstrates that cysteine 4326 of apolipoprotein B is required for covalent linkage with apolipoprotein (a) in vivo.,0,0,,,,,,,,,,,,,,,,,
MOUSE,0,"Phosphatidic acid phosphatase (PAP) converts phosphatidic acid to diacylglycerol, thus regulating the de novo synthesis of glycerolipids and also signal transduction mediated by phospholipase D. We in",0,0,,,,,,,,,,,,,,,,,
FGF-23,0,The objective of this study was to examine the associations between high plasma FGF-23 concentration and LV systolic dysfunction.,,,UP/Q9GZV9/Fibroblast growth factor 23/0.85366,UP/Q9EPC2/Fibroblast growth factor 23/0.85366,UP/Q8VI82/Fibroblast growth factor 23/0.85366,UP/Q5MK86/Fibroblast growth factor 23/0.85366,NCIT/C104383/FGF23/0.85366,HGNC/3680/fibroblast growth factor 23/0.85366,NCIT/C104384/fibroblast growth factor-23/0.70732,,,,,,,,,,
fibroblast,0,"We also show that fibroblasts derived from different NPC patients displayed varying levels of ARF6 that is GTP-bound, which correlate with their response to sustained ARF6 activation.",,,CO/0000057/fibroblast/0.85357,,,,,,,,,,,,,,,,
membrane,0,"Using immunofluorescence microscopy, we found that arrestins do not cluster at the membrane with CCR7 following ligand binding but cap with CCR7 during receptor internalization.",,,UP/SL-0162/Membrane/0.85366,GO/0016020/membrane/0.85366,,,,,,,,,,,,,,,
p300,0,"Together, these results demonstrate that an interaction between STAT1, p300, and peroxisome proliferator-activated receptor-γ is required for 15(S)-HETE-induced CD36 expression, oxidized low density l",,,NCIT/C17804/E1A binding protein-p300/0.70732,NCIT/C52127/EP300/0.70732,HGNC/3373/E1A binding protein p300/0.56098,UP/Q01705/Neurogenic locus notch homolog protein 1/0.56098,,,,,,,,,,,,,
human immunodeficiency virus,0,"To clarify the relationship between the amino acid variations of the gp120 of human immunodeficiency virus type 1 (HIV-1) and the chemokine receptors that are used as the second receptor for HIV, we e",,,EFO/0000764/HIV infection/0.70732,,,,,,,,,,,,,,,,
LTA,0,"The telomeric class III region of the HLA complex harbors several genes, including lymphotoxin alpha (LTA), tumor necrosis factor (TNF) and leukocyte specific transcript -1 (LST1) genes, located betwe",,,HGNC/6709/lymphotoxin alpha/0.85366,NCIT/C51509/LTA/0.85366,NCIT/C20536/tumor necrosis factor-beta/0.70732,UP/P19664/Anti-H(O) lectin/0.56098,,,,,,,,,,,,,
cbp,0,"Therefore, we propose that acetylation of the DNA binding domain of NF-kappaB aids in nuclear translocation and enhanced transcription and also suggest that the substrate specificity of CBP/p300 can b",,,UP/O42720/Calcium-binding protein/0.85366,UP/P0AEN0/L-cystine-binding protein FliY/0.85366,UP/P0AEM9/L-cystine-binding protein FliY/0.85366,NCIT/C17803/CREB binding protein/0.70732,NCIT/C52534/CREBBP/0.70732,NCIT/C105124/EIF4E/0.70732,HGNC/2348/CREB binding protein/0.56098,HGNC/30043/phosphoprotein membrane anchor with glycosphingolipid microdomains 1/0.56098,UP/P00303/Basic blue protein/0.56098,UP/Q61990/Poly(rC)-binding protein 2/0.56098,UP/P20419/Phospholipase C/0.54523,HGNC/9936/opsin 1 (cone pigments), long-wave-sensitive/0.26829,,,,
VIRUS,0,Transcription of the human immunodeficiency virus type 1 (HIV-1) genome depends on the intracellular environment where the integrate viral DNA is regulated by a complex interplay among viral regulator,0,0,,,,,,,,,,,,,,,,,
cbp,0,"Here, we show that the p50 subunit as well as the p50/p65 of NF-kappaB, and not other factors such as SP1, TFIIB, polymerase II, TFIIA, or p65, can be acetylated by CBP/p300 HAT domain.",,,UP/O42720/Calcium-binding protein/0.85366,UP/P0AEN0/L-cystine-binding protein FliY/0.85366,UP/P0AEM9/L-cystine-binding protein FliY/0.85366,NCIT/C17803/CREB binding protein/0.70732,NCIT/C52534/CREBBP/0.70732,NCIT/C105124/EIF4E/0.70732,HGNC/2348/CREB binding protein/0.56098,HGNC/30043/phosphoprotein membrane anchor with glycosphingolipid microdomains 1/0.56098,UP/P00303/Basic blue protein/0.56098,UP/Q61990/Poly(rC)-binding protein 2/0.56098,UP/P20419/Phospholipase C/0.54523,HGNC/9936/opsin 1 (cone pigments), long-wave-sensitive/0.26829,,,,
RORgammaT,0,"Moreover, USP4 and IL-17 mRNA, but not RORγt mRNA, were significantly elevated in CD4 (+) T cells from patients with rheumatic heart disease.",,,NCIT/C106314/nuclear receptor ROR-gamma T/0.70732,,,,,,,,,,,,,,,,
YEAST,0,"Here we identify and characterize HDAC4, a representative of a new human histone deacetylase family, which is homologous to the yeast HDA1 deacetylase.",0,0,,,,,,,,,,,,,,,,,
keratinocyte,0,"Except being a common therapeutic target in various cancers, CDC25B also plays an important role in the hyper-proliferation of epidermal keratinocytes which can be suppressed by anti-psoriatic drug in",,,BTO/0000667/keratinocyte/0.85366,CO/0000312/keratinocyte/0.85366,,,,,,,,,,,,,,,
interleukin-2,0,A decrease in serum levels of interleukin-2 (IL-2) is usually found in alcoholic cirrhotics.,,,UP/P60568/Interleukin-2/0.85366,UP/P04351/Interleukin-2/0.85366,NCIT/C20507/interleukin-2/0.85366,HGNC/6001/interleukin 2/0.85366,,,,,,,,,,,,,
ligand,0,"In recent years, several candidate protein ligands for APP, including F-spondin, Reelin, β1 Integrin, Contactins, Lingo-1, and Pancortin, have been reported.",,,CHEBI/52214/ligand/0.85366,,,,,,,,,,,,,,,,
DNA binding,0,"Acetylated p50 increases its DNA binding properties, as evident by streptavidin/biotin pull-down assays when using labeled NF-kappaB oligonucleotides.",,,GO/0003677/DNA binding/0.85366,NCIT/C18597/DNA binding/0.85366,,,,,,,,,,,,,,,
PI3K,1,"Activation of PI3 K pathway augments MIP-2 secretion, hence possible resistance to the antitumor effects of CXCR2 antagonists might be prevented with inhibitors of PI3 K.",1,1,BE/PI3K/PI3K/1.0,UP/P54673/Phosphatidylinositol 3-kinase 1/0.85366,GO/0016303/1-phosphatidylinositol-3-kinase activity/0.70732,NCIT/C17270/phosphatidylinositol-3 kinase/0.70732,NCIT/C30168/phosphoinositide-3-kinase catalytic alpha polypeptide/0.70732,NCIT/C30170/phosphoinositide-3-kinase catalytic beta polypeptide/0.70732,NCIT/C30171/phosphoinositide-3-kinase catalytic gamma polypeptide/0.70732,NCIT/C51160/PIK3CA/0.70732,NCIT/C51161/PIK3CB/0.70732,NCIT/C51162/PIK3CG/0.70732,NCIT/C113629/PIK3CD/0.70732,HGNC/8975/phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/0.56098,UP/etc/None/0.12195,,,
NK cell,0,"The C-C chemokine receptor (CCR7) G protein-coupled receptor is expressed on naive T cells, dendritic cells, and NK cells and has two endogenous ligands, CCL19 and CCL21.",,,BTO/0000914/natural killer cell/0.70732,,,,,,,,,,,,,,,,
DYSFUNCTION,0,Serotoninergic dysfunction leads to neurodevelopmental abnormalities and behavioral impairments.,0,0,,,,,,,,,,,,,,,,,
PATIENT,0,"The goal of this study was to examine the effect that four novel MTTP missense mutations had on protein interactions, expression and lipid-transfer activity, and to determine which mutations were resp",0,0,,,,,,,,,,,,,,,,,
MICRORNA-214,0,"qPCR and western blot analysis were used to investigate microRNA-214 (miR-214) expression, as well as the expression of p53, Bcl-2 and Bax proteins in TCA8113 cells.",0,0,,,,,,,,,,,,,,,,,
SQUAMOUS-CELL,0,"Using computer-assisted microscopy, the immunohistochemical expression of HLTF was determined using a series of 100 hypopharyngeal and 56 laryngeal squamous cell carcinomas (SCCs) compared to tumor-fr",0,0,,,,,,,,,,,,,,,,,
CHK2,0,These results suggest that eupatilin inhibits the growth of human endometrial cancer cells via G2/M phase cell cycle arrest through the up-regulation of p21 by the inhibition of mutant p53 and the act,,,FA/03073/CHK2 subfamily/0.85013,NCIT/C40966/serine-threonine protein kinase-CHK2/0.70379,NCIT/C51197/CHEK2/0.70379,HGNC/16627/checkpoint kinase 2/0.55745,,,,,,,,,,,,,
FAMILY,0,The helicase-like transcription factor (HLTF) belongs to the SWI/SNF family of proteins that use the energy from adenosine triphosphate hydrolysis to remodel chromatin during a variety of cellular pro,0,0,,,,,,,,,,,,,,,,,
GT,0,We found an association between the -330T>G IL2 polymorphism and alcoholic liver cirrhosis: the frequency of the allele T carriers (genotype TT and GT) was significantly higher in alcoholics with cirr,,,CHEBI/73920/Gly-Thr/0.56098,,,,,,,,,,,,,,,,
roc,0,Receiver operating characteristics (ROC) analysis was employed for identifying the progression of renal disease and Kaplan-Meier curves assessed the renal survival.,,,XFAM/PF08477/roc/0.69157,,,,,,,,,,,,,,,,
GENE,0,"Here, we demonstrate that Notch-1 increases the transcription of ERalpha-responsive genes in the presence or absence of estrogen via a novel chromatin crosstalk mechanism.",0,0,,,,,,,,,,,,,,,,,
